SARSA_mean,Q_mean,SARSA_std,Q_std
-20.08,-23.58,63.50,74.57
-19.27,-22.11,60.95,69.93
-20.32,-22.42,64.27,70.90
-20.07,-21.53,63.47,68.10
-19.69,-21.52,62.28,68.04
-19.49,-21.28,61.64,67.31
-20.03,-21.33,63.34,67.46
-20.56,-20.69,65.02,65.42
-19.92,-20.86,62.99,65.97
-19.55,-21.08,61.83,66.65
-19.25,-20.84,60.88,65.90
-19.30,-20.81,61.03,65.81
-19.45,-20.92,61.51,66.17
-19.27,-21.10,60.95,66.73
-19.11,-20.68,60.42,65.39
-19.35,-20.64,61.20,65.26
-19.53,-20.51,61.75,64.85
-19.51,-20.41,61.70,64.55
-19.46,-20.25,61.53,64.04
-19.36,-20.21,61.21,63.90
-19.17,-20.19,60.62,63.84
-19.32,-20.18,61.09,63.82
-19.31,-20.20,61.07,63.87
-19.56,-20.33,61.84,64.29
-19.56,-20.41,61.86,64.53
-19.64,-20.37,62.10,64.41
-19.52,-20.23,61.73,63.96
-19.57,-20.16,61.88,63.76
-19.60,-20.05,61.97,63.39
-19.53,-19.96,61.76,63.13
-19.54,-19.81,61.79,62.65
-19.55,-19.72,61.84,62.36
-19.53,-19.68,61.77,62.24
-19.55,-19.67,61.82,62.20
-19.52,-19.61,61.74,62.02
-19.58,-19.57,61.92,61.89
-19.42,-19.61,61.42,62.01
-19.36,-19.55,61.21,61.81
-19.43,-19.42,61.45,61.41
-19.33,-19.37,61.13,61.24
-19.21,-19.25,60.75,60.88
-19.15,-19.24,60.56,60.83
-19.20,-19.21,60.70,60.73
-19.24,-19.22,60.84,60.77
-19.18,-19.20,60.66,60.71
-19.22,-19.15,60.79,60.54
-19.33,-19.14,61.14,60.52
-19.30,-19.10,61.04,60.38
-19.24,-19.00,60.85,60.07
-19.15,-18.93,60.55,59.88
-19.04,-18.87,60.22,59.69
-19.08,-18.76,60.35,59.32
-19.08,-18.67,60.33,59.03
-19.02,-18.62,60.13,58.88
-19.01,-18.58,60.13,58.77
-18.97,-18.59,59.99,58.77
-19.03,-18.58,60.17,58.76
-19.03,-18.62,60.19,58.87
-19.02,-18.61,60.14,58.84
-18.96,-18.57,59.96,58.72
-18.93,-18.57,59.86,58.74
-18.94,-18.53,59.89,58.60
-18.95,-18.57,59.92,58.73
-18.89,-18.49,59.73,58.48
-18.86,-18.42,59.63,58.26
-18.86,-18.44,59.63,58.32
-18.83,-18.45,59.56,58.35
-18.74,-18.40,59.25,58.18
-18.77,-18.37,59.36,58.10
-18.71,-18.38,59.17,58.14
-18.68,-18.42,59.06,58.26
-18.66,-18.47,59.02,58.40
-18.63,-18.47,58.90,58.40
-18.58,-18.49,58.75,58.48
-18.60,-18.48,58.81,58.43
-18.55,-18.47,58.66,58.39
-18.49,-18.47,58.48,58.41
-18.42,-18.44,58.23,58.33
-18.37,-18.38,58.08,58.14
-18.35,-18.34,58.03,57.98
-18.37,-18.36,58.10,58.07
-18.34,-18.30,58.01,57.88
-18.35,-18.27,58.03,57.79
-18.34,-18.29,57.98,57.84
-18.34,-18.23,57.99,57.64
-18.34,-18.23,57.98,57.66
-18.32,-18.21,57.94,57.59
-18.28,-18.18,57.82,57.49
-18.26,-18.15,57.76,57.40
-18.27,-18.14,57.79,57.36
-18.25,-18.11,57.71,57.25
-18.22,-18.10,57.61,57.25
-18.24,-18.08,57.69,57.19
-18.24,-18.14,57.68,57.35
-18.24,-18.09,57.67,57.22
-18.22,-18.08,57.61,57.19
-18.19,-18.08,57.51,57.17
-18.21,-18.11,57.57,57.26
-18.18,-18.09,57.50,57.19
-18.19,-18.07,57.52,57.13
-18.15,-18.05,57.41,57.08
-18.18,-18.03,57.48,57.01
-18.15,-18.04,57.38,57.04
-18.13,-18.01,57.33,56.95
-18.08,-17.97,57.18,56.83
-18.06,-17.94,57.13,56.74
-18.03,-17.89,57.00,56.59
-18.00,-17.86,56.92,56.48
-18.02,-17.86,56.98,56.48
-18.01,-17.82,56.95,56.35
-18.00,-17.81,56.92,56.31
-17.98,-17.77,56.87,56.20
-17.96,-17.78,56.78,56.23
-17.97,-17.74,56.83,56.11
-17.96,-17.73,56.79,56.08
-17.96,-17.70,56.78,55.98
-17.93,-17.70,56.69,55.96
-17.91,-17.69,56.65,55.94
-17.93,-17.71,56.70,56.01
-17.91,-17.69,56.65,55.93
-17.88,-17.66,56.56,55.84
-17.84,-17.63,56.42,55.74
-17.80,-17.60,56.30,55.67
-17.76,-17.59,56.15,55.62
-17.76,-17.59,56.15,55.62
-17.76,-17.60,56.18,55.65
-17.74,-17.60,56.11,55.66
-17.73,-17.60,56.07,55.65
-17.73,-17.57,56.06,55.58
-17.72,-17.56,56.03,55.54
-17.69,-17.58,55.95,55.58
-17.70,-17.58,55.97,55.58
-17.68,-17.58,55.90,55.59
-17.64,-17.57,55.77,55.56
-17.70,-17.55,55.96,55.48
-17.70,-17.54,55.97,55.47
-17.69,-17.52,55.95,55.41
-17.66,-17.49,55.86,55.31
-17.65,-17.50,55.83,55.33
-17.65,-17.45,55.82,55.17
-17.63,-17.43,55.75,55.11
-17.60,-17.41,55.66,55.04
-17.57,-17.39,55.55,54.98
-17.55,-17.38,55.51,54.96
-17.53,-17.36,55.42,54.91
-17.51,-17.33,55.37,54.80
-17.50,-17.31,55.34,54.74
-17.51,-17.30,55.38,54.71
-17.54,-17.29,55.48,54.67
-17.53,-17.31,55.44,54.73
-17.53,-17.29,55.42,54.68
-17.54,-17.28,55.48,54.65
-17.54,-17.26,55.48,54.57
-17.50,-17.25,55.34,54.55
-17.50,-17.24,55.34,54.53
-17.49,-17.22,55.30,54.46
-17.46,-17.20,55.23,54.40
-17.48,-17.18,55.27,54.34
-17.45,-17.16,55.19,54.25
-17.42,-17.14,55.07,54.21
-17.41,-17.13,55.06,54.17
-17.43,-17.12,55.12,54.15
-17.40,-17.09,55.02,54.05
-17.38,-17.06,54.95,53.96
-17.37,-17.04,54.92,53.89
-17.33,-17.03,54.79,53.85
-17.32,-17.03,54.77,53.87
-17.31,-17.02,54.73,53.81
-17.29,-16.98,54.66,53.70
-17.26,-16.95,54.58,53.60
-17.23,-16.93,54.50,53.53
-17.21,-16.90,54.43,53.44
-17.21,-16.88,54.41,53.38
-17.18,-16.87,54.33,53.35
-17.16,-16.84,54.27,53.25
-17.15,-16.82,54.22,53.18
-17.13,-16.81,54.16,53.15
-17.10,-16.79,54.08,53.09
-17.09,-16.77,54.04,53.03
-17.07,-16.75,53.97,52.95
-17.06,-16.74,53.94,52.95
-17.02,-16.72,53.84,52.87
-17.01,-16.70,53.78,52.81
-17.01,-16.69,53.78,52.76
-17.00,-16.65,53.75,52.66
-16.98,-16.63,53.70,52.58
-16.96,-16.61,53.62,52.52
-16.94,-16.60,53.56,52.49
-16.91,-16.59,53.48,52.46
-16.88,-16.57,53.38,52.39
-16.85,-16.55,53.27,52.34
-16.84,-16.55,53.25,52.33
-16.83,-16.53,53.22,52.28
-16.81,-16.55,53.16,52.34
-16.78,-16.53,53.07,52.27
-16.75,-16.52,52.98,52.24
-16.75,-16.52,52.97,52.24
-16.73,-16.51,52.89,52.21
-16.71,-16.49,52.84,52.15
-16.70,-16.48,52.80,52.11
-16.68,-16.46,52.74,52.04
-16.65,-16.44,52.64,51.98
-16.64,-16.42,52.63,51.94
-16.62,-16.41,52.56,51.88
-16.59,-16.38,52.46,51.79
-16.57,-16.37,52.41,51.75
-16.56,-16.34,52.35,51.69
-16.54,-16.33,52.31,51.63
-16.53,-16.31,52.28,51.57
-16.52,-16.29,52.24,51.52
-16.53,-16.28,52.26,51.48
-16.51,-16.25,52.22,51.40
-16.50,-16.24,52.17,51.35
-16.49,-16.22,52.15,51.30
-16.50,-16.21,52.18,51.25
-16.49,-16.19,52.16,51.20
-16.48,-16.17,52.12,51.14
-16.48,-16.17,52.12,51.12
-16.47,-16.16,52.09,51.09
-16.45,-16.14,52.03,51.03
-16.46,-16.13,52.06,50.99
-16.45,-16.11,52.01,50.95
-16.44,-16.10,51.98,50.91
-16.42,-16.08,51.93,50.86
-16.40,-16.07,51.87,50.83
-16.38,-16.05,51.80,50.75
-16.36,-16.04,51.74,50.73
-16.34,-16.03,51.67,50.68
-16.33,-16.01,51.65,50.64
-16.32,-16.00,51.61,50.61
-16.31,-16.00,51.59,50.59
-16.29,-15.99,51.52,50.58
-16.28,-15.99,51.49,50.55
-16.26,-15.99,51.42,50.55
-16.24,-15.97,51.37,50.51
-16.23,-15.97,51.32,50.51
-16.22,-15.97,51.29,50.51
-16.19,-15.98,51.21,50.52
-16.18,-15.97,51.17,50.51
-16.16,-15.96,51.09,50.47
-16.14,-15.96,51.04,50.48
-16.14,-15.96,51.03,50.46
-16.12,-15.96,50.98,50.46
-16.12,-15.93,50.98,50.39
-16.11,-15.93,50.95,50.36
-16.13,-15.92,51.00,50.34
-16.12,-15.91,50.98,50.32
-16.09,-15.90,50.89,50.28
-16.08,-15.90,50.84,50.28
-16.05,-15.89,50.76,50.26
-16.05,-15.88,50.74,50.23
-16.03,-15.87,50.68,50.19
-16.02,-15.87,50.65,50.17
-16.01,-15.85,50.62,50.13
-15.99,-15.86,50.58,50.16
-15.99,-15.86,50.55,50.16
-15.98,-15.85,50.54,50.13
-15.96,-15.84,50.47,50.08
-15.95,-15.82,50.44,50.02
-15.93,-15.81,50.37,50.00
-15.92,-15.81,50.34,50.00
-15.92,-15.81,50.33,49.98
-15.91,-15.80,50.31,49.98
-15.90,-15.80,50.27,49.96
-15.89,-15.79,50.24,49.93
-15.88,-15.78,50.21,49.90
-15.87,-15.76,50.18,49.85
-15.86,-15.77,50.15,49.86
-15.85,-15.75,50.13,49.81
-15.84,-15.72,50.08,49.72
-15.84,-15.72,50.08,49.71
-15.84,-15.70,50.07,49.66
-15.82,-15.69,50.02,49.63
-15.81,-15.69,50.01,49.63
-15.80,-15.70,49.97,49.64
-15.80,-15.69,49.95,49.61
-15.78,-15.68,49.92,49.58
-15.78,-15.66,49.89,49.53
-15.76,-15.65,49.85,49.50
-15.77,-15.65,49.88,49.48
-15.77,-15.64,49.86,49.45
-15.77,-15.62,49.86,49.40
-15.76,-15.61,49.83,49.38
-15.75,-15.60,49.81,49.34
-15.74,-15.59,49.76,49.31
-15.73,-15.59,49.74,49.30
-15.72,-15.59,49.71,49.30
-15.71,-15.58,49.67,49.26
-15.69,-15.57,49.63,49.23
-15.68,-15.56,49.60,49.21
-15.68,-15.55,49.58,49.17
-15.66,-15.54,49.53,49.14
-15.66,-15.53,49.51,49.12
-15.66,-15.52,49.51,49.07
-15.66,-15.51,49.51,49.06
-15.64,-15.50,49.47,49.01
-15.64,-15.49,49.47,48.99
-15.63,-15.48,49.42,48.95
-15.62,-15.46,49.41,48.90
-15.61,-15.46,49.37,48.89
-15.60,-15.45,49.33,48.86
-15.59,-15.44,49.29,48.81
-15.57,-15.42,49.23,48.76
-15.56,-15.41,49.21,48.73
-15.56,-15.41,49.19,48.74
-15.55,-15.41,49.17,48.74
-15.54,-15.41,49.13,48.72
-15.52,-15.40,49.07,48.69
-15.51,-15.39,49.06,48.67
-15.50,-15.39,49.03,48.66
-15.49,-15.38,48.99,48.63
-15.48,-15.37,48.96,48.61
-15.47,-15.37,48.93,48.60
-15.48,-15.36,48.94,48.58
-15.47,-15.36,48.91,48.58
-15.46,-15.35,48.88,48.54
